date,channel,spend,free_signups,trial_starts,paid_conversions,retained_day_30,retained_day_90,retained_day_180,cost_per_signup,cost_per_trial,cost_per_paid,cost_per_retained_90,is_holdout_period
2024-01-01,meta,7335.21,283,102,49,39,32,29,25.92,71.91,149.7,229.23,False
2024-01-01,google,9319.07,292,125,63,52,45,33,31.91,74.55,147.92,207.09,False
2024-01-01,tiktok,2426.72,140,33,10,6,4,4,17.33,73.54,242.67,606.68,False
2024-01-01,apple_search,2502.17,68,34,20,18,15,14,36.8,73.59,125.11,166.81,False
2024-01-02,meta,6215.63,244,82,40,32,25,23,25.47,75.8,155.39,248.63,False
2024-01-02,google,7287.9,256,96,46,39,34,28,28.47,75.92,158.43,214.35,False
2024-01-02,tiktok,4145.99,235,54,15,10,8,5,17.64,76.78,276.4,518.25,False
2024-01-02,apple_search,2110.02,60,32,19,17,15,14,35.17,65.94,111.05,140.67,False
2024-01-03,meta,5975.4,235,83,39,31,26,19,25.43,71.99,153.22,229.82,False
2024-01-03,google,7318.33,272,121,62,54,45,36,26.91,60.48,118.04,162.63,False
2024-01-03,tiktok,4658.46,307,76,24,15,12,9,15.17,61.3,194.1,388.21,False
2024-01-03,apple_search,2486.82,68,33,20,18,17,13,36.57,75.36,124.34,146.28,False
2024-01-04,meta,6011.46,232,84,38,30,26,21,25.91,71.57,158.2,231.21,False
2024-01-04,google,9545.38,290,119,60,48,43,37,32.92,80.21,159.09,221.99,False
2024-01-04,tiktok,4281.16,243,56,16,11,7,6,17.62,76.45,267.57,611.59,False
2024-01-04,apple_search,2669.07,85,47,29,26,20,20,31.4,56.79,92.04,133.45,False
2024-01-05,meta,5872.23,298,103,47,38,30,27,19.71,57.01,124.94,195.74,False
2024-01-05,google,7930.96,291,116,64,52,47,45,27.25,68.37,123.92,168.74,False
2024-01-05,tiktok,2736.57,157,39,11,7,5,3,17.43,70.17,248.78,547.31,False
2024-01-05,apple_search,2285.72,57,33,19,16,15,12,40.1,69.26,120.3,152.38,False
2024-01-06,meta,6023.37,277,89,40,33,28,20,21.75,67.68,150.58,215.12,False
2024-01-06,google,6127.12,227,96,50,42,34,30,26.99,63.82,122.54,180.21,False
2024-01-06,tiktok,3907.13,214,58,17,11,9,6,18.26,67.36,229.83,434.13,False
2024-01-06,apple_search,2356.16,71,37,24,21,19,19,33.19,63.68,98.17,124.01,False
2024-01-07,meta,6606.27,244,81,34,27,23,19,27.07,81.56,194.3,287.23,False
2024-01-07,google,9424.43,310,139,71,65,52,40,30.4,67.8,132.74,181.24,False
2024-01-07,tiktok,3139.06,198,48,14,9,7,5,15.85,65.4,224.22,448.44,False
2024-01-07,apple_search,2182.4,57,32,20,17,16,14,38.29,68.2,109.12,136.4,False
2024-01-08,meta,5955.09,246,86,36,29,25,21,24.21,69.25,165.42,238.2,False
2024-01-08,google,9666.8,272,108,57,49,42,44,35.54,89.51,169.59,230.16,False
2024-01-08,tiktok,4903.2,308,80,24,16,12,8,15.92,61.29,204.3,408.6,False
2024-01-08,apple_search,2513.51,64,35,24,20,19,15,39.27,71.81,104.73,132.29,False
2024-01-09,meta,6385.69,285,100,42,33,29,21,22.41,63.86,152.04,220.2,False
2024-01-09,google,8813.35,295,119,68,58,44,42,29.88,74.06,129.61,200.3,False
2024-01-09,tiktok,3584.5,232,55,16,11,8,5,15.45,65.17,224.03,448.06,False
2024-01-09,apple_search,2490.86,64,34,22,20,16,16,38.92,73.26,113.22,155.68,False
2024-01-10,meta,9069.27,367,118,51,43,33,28,24.71,76.86,177.83,274.83,False
2024-01-10,google,9398.6,280,117,50,41,35,27,33.57,80.33,187.97,268.53,False
2024-01-10,tiktok,6054.31,274,66,19,13,9,7,22.1,91.73,318.65,672.7,False
2024-01-10,apple_search,2582.41,62,34,21,18,16,14,41.65,75.95,122.97,161.4,False
2024-01-11,meta,7004.22,295,111,46,40,28,25,23.74,63.1,152.27,250.15,False
2024-01-11,google,9216.44,313,127,65,54,45,42,29.45,72.57,141.79,204.81,False
2024-01-11,tiktok,4688.52,249,65,19,13,10,6,18.83,72.13,246.76,468.85,False
2024-01-11,apple_search,2437.93,71,40,24,21,20,16,34.34,60.95,101.58,121.9,False
2024-01-12,meta,6341.56,250,86,40,33,28,24,25.37,73.74,158.54,226.48,False
2024-01-12,google,7344.23,270,111,58,49,41,36,27.2,66.16,126.62,179.13,False
2024-01-12,tiktok,2913.62,214,50,14,10,7,5,13.62,58.27,208.12,416.23,False
2024-01-12,apple_search,2335.82,63,33,20,17,16,14,37.08,70.78,116.79,145.99,False
2024-01-13,meta,5141.04,206,73,31,24,21,17,24.96,70.43,165.84,244.81,False
2024-01-13,google,6888.31,228,96,46,37,31,27,30.21,71.75,149.75,222.2,False
2024-01-13,tiktok,3952.29,267,69,20,13,9,7,14.8,57.28,197.61,439.14,False
2024-01-13,apple_search,2136.83,61,32,20,18,15,14,35.03,66.78,106.84,142.46,False
2024-01-14,meta,7627.08,284,100,45,37,29,24,26.86,76.27,169.49,263.0,False
2024-01-14,google,9155.77,347,152,87,72,65,53,26.39,60.24,105.24,140.86,False
2024-01-14,tiktok,6684.58,311,74,21,13,10,7,21.49,90.33,318.31,668.46,False
2024-01-14,apple_search,2630.82,73,43,27,23,20,20,36.04,61.18,97.44,131.54,False
2024-01-15,meta,5549.95,270,100,43,33,31,23,20.56,55.5,129.07,179.03,False
2024-01-15,google,9935.49,270,110,57,48,40,36,36.8,90.32,174.31,248.39,False
2024-01-15,tiktok,3170.84,188,47,14,10,6,4,16.87,67.46,226.49,528.47,False
2024-01-15,apple_search,2926.74,79,41,27,24,22,19,37.05,71.38,108.4,133.03,False
2024-01-16,meta,9071.65,391,135,63,52,45,32,23.2,67.2,143.99,201.59,False
2024-01-16,google,9375.14,341,130,63,50,44,40,27.49,72.12,148.81,213.07,False
2024-01-16,tiktok,5957.7,320,86,24,15,12,9,18.62,69.28,248.24,496.47,False
2024-01-16,apple_search,2590.11,55,30,17,15,13,11,47.09,86.34,152.36,199.24,False
2024-01-17,meta,6404.25,230,80,37,29,25,19,27.84,80.05,173.09,256.17,False
2024-01-17,google,7848.62,265,105,53,43,41,32,29.62,74.75,148.09,191.43,False
2024-01-17,tiktok,3578.28,218,54,16,11,8,5,16.41,66.26,223.64,447.29,False
2024-01-17,apple_search,2452.33,64,31,17,15,14,12,38.32,79.11,144.25,175.17,False
2024-01-18,meta,7549.9,303,122,57,46,36,27,24.92,61.88,132.45,209.72,False
2024-01-18,google,8898.24,274,106,53,43,41,34,32.48,83.95,167.89,217.03,False
2024-01-18,tiktok,4334.42,288,72,20,14,10,7,15.05,60.2,216.72,433.44,False
2024-01-18,apple_search,2556.25,63,32,20,19,14,14,40.58,79.88,127.81,182.59,False
2024-01-19,meta,5337.89,209,70,30,24,19,16,25.54,76.26,177.93,280.94,False
2024-01-19,google,7349.42,247,99,49,42,36,27,29.75,74.24,149.99,204.15,False
